        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
 K1430_2_0_a        4.66      4.6605     4.30496 pm    0.0694413     7.61878 %        5.11274
 K1430_2_0_b       -0.32   -0.195757   -0.280833 pm    0.0176384   0.0391667 rad      2.22054
K1430_2_p1_a        4.65     4.18728     4.27553 pm    0.0707622     8.05311 %        5.29195
K1430_2_p1_b       -3.05    -3.31531    -3.04513 pm    0.0351348  0.00486743 rad     0.138536
K1430_2_m1_a        1.26     1.18101     1.02353 pm     0.107489     18.7678 %        2.19999
K1430_2_m1_b       -1.92    -1.50186    -1.91867 pm    0.0896726   0.0013311 rad     0.014844
 K1780_3_0_a        16.8     15.4194     21.0782 pm      1.85602     25.4656 %        2.30506
 K1780_3_0_b       -1.43    -1.76916    -1.32108 pm    0.0848632    0.108923 rad      1.28351
K1780_3_p1_a        19.1     19.7622     20.5515 pm      2.08994     7.59943 %       0.694514
K1780_3_p1_b        2.03     2.37098     1.98165 pm     0.112983   0.0483474 rad     0.427919
K1780_3_m1_a        10.2      9.5275     12.0055 pm      2.45631     17.7006 %       0.735031
K1780_3_m1_b        1.55     1.15655     1.73046 pm     0.263223     0.18046 rad     0.685579
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.859169    0.800984 pm   0.00441983     5.09664 %        9.73241
 K892_1_p1_b        3.14     3.06266    -3.11581 pm    0.0162762    0.027379 rad      1.68215
 K892_1_m1_a       0.196    0.201557    0.192732 pm   0.00707864     1.66751 %       0.461715
 K892_1_m1_b        -1.7    -1.81411    -1.54904 pm    0.0338015    0.150959 rad      4.46605
  K800_0_0_a        1.12     1.07016     1.13879 pm    0.0168125      1.6774 %        1.11744
  K800_0_0_b         2.3     2.03181     1.81241 pm    0.0193743    0.487594 rad      25.1671
 K1410_1_0_a       0.119    0.108323    0.124411 pm    0.0075761     4.54738 %        0.71427
 K1410_1_0_b        0.81    0.823363     1.31747 pm    0.0873107    0.507473 rad      5.81227
K1410_1_p1_a       0.123    0.121004   0.0883121 pm    0.0124904     28.2015 %        2.77716
K1410_1_p1_b       -1.04    -1.01862    -1.23706 pm     0.156179     0.19706 rad      1.26176
K1410_1_m1_a       0.036   0.0357782   0.0218266 pm    0.0150095     39.3705 %       0.944291
K1410_1_m1_b        0.67    0.328197    0.505739 pm     0.649566    0.164261 rad     0.252879
 K1430_0_0_a        0.89    0.835645     1.10492 pm    0.0171372     24.1478 %        12.5408
 K1430_0_0_b       -2.17    -1.87389    -2.10296 pm    0.0223254   0.0670372 rad      3.00273
 K1430_2_0_a        4.66     4.47303      4.3051 pm    0.0686556     7.61597 %        5.16934
 K1430_2_0_b       -0.32   0.0257286   -0.280904 pm    0.0233022    0.039096 rad      1.67778
K1430_2_p1_a        4.65     4.84053     4.27563 pm    0.0680836     8.05103 %        5.49872
K1430_2_p1_b       -3.05    -3.13138    -3.04519 pm    0.0347741  0.00481333 rad     0.138417
K1430_2_m1_a        1.26     1.16167     1.02339 pm     0.105806     18.7787 %        2.23628
K1430_2_m1_b       -1.92    -2.34851     -1.9186 pm     0.105449  0.00139917 rad    0.0132686
 K1780_3_0_a        16.8     15.4089     21.0766 pm      1.98876     25.4558 %        2.15037
 K1780_3_0_b       -1.43    -1.93553    -1.32116 pm     0.067391    0.108838 rad      1.61501
K1780_3_p1_a        19.1      17.615     20.5477 pm      2.13132     7.57972 %       0.679261
K1780_3_p1_b        2.03     1.53745      1.9815 pm     0.105685   0.0484974 rad     0.458887
K1780_3_m1_a        10.2     10.2656     12.0077 pm      2.46646     17.7226 %       0.732915
K1780_3_m1_b        1.55     1.26077     1.73043 pm     0.241007    0.180435 rad      0.74867
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.857664    0.800992 pm   0.00473904      5.0957 %        9.07519
 K892_1_p1_b        3.14     2.88838    -3.11581 pm     0.016183   0.0273801 rad      1.69191
 K892_1_m1_a       0.196    0.190531    0.192731 pm   0.00690989     1.66795 %       0.473115
 K892_1_m1_b        -1.7    -1.36195    -1.54903 pm    0.0345957    0.150966 rad      4.36373
  K800_0_0_a        1.12     1.16397     1.13881 pm    0.0156447     1.67906 %        1.20204
  K800_0_0_b         2.3     1.78674     1.81239 pm    0.0197444    0.487612 rad      24.6962
 K1410_1_0_a       0.119    0.126651    0.124418 pm   0.00750933     4.55309 %       0.721527
 K1410_1_0_b        0.81    0.857696      1.3175 pm    0.0764732    0.507497 rad      6.63627
K1410_1_p1_a       0.123    0.116038   0.0882923 pm    0.0127293     28.2177 %         2.7266
K1410_1_p1_b       -1.04   -0.848172    -1.23699 pm     0.148743    0.196995 rad       1.3244
K1410_1_m1_a       0.036   0.0328726   -0.021816 pm    0.0140857       160.6 %         4.1046
K1410_1_m1_b        0.67     1.14032    -2.63546 pm     0.638551     2.97772 rad      4.66324
 K1430_0_0_a        0.89    0.897806     1.10492 pm    0.0165026      24.148 %        13.0232
 K1430_0_0_b       -2.17    -2.63586    -2.10297 pm    0.0218493   0.0670334 rad      3.06799
 K1430_2_0_a        4.66     4.85679     4.30518 pm    0.0713853     7.61411 %        4.97046
 K1430_2_0_b       -0.32   0.0904393   -0.280907 pm    0.0233714   0.0390928 rad      1.67268
K1430_2_p1_a        4.65     4.29828     4.27574 pm    0.0669494     8.04856 %        5.59017
K1430_2_p1_b       -3.05    -3.23113     -3.0452 pm    0.0344576  0.00479928 rad     0.139281
K1430_2_m1_a        1.26     1.29354     1.02344 pm      0.10687     18.7744 %        2.21351
K1430_2_m1_b       -1.92    -1.77564    -1.91866 pm    0.0991085  0.00134409 rad    0.0135618
 K1780_3_0_a        16.8     17.1146     21.0774 pm      1.76491      25.461 %         2.4236
 K1780_3_0_b       -1.43    -1.23079    -1.32117 pm    0.0834026    0.108829 rad      1.30486
K1780_3_p1_a        19.1     17.3358     20.5486 pm      1.93238     7.58408 %       0.749625
K1780_3_p1_b        2.03     1.81891     1.98156 pm     0.121046   0.0484364 rad     0.400148
K1780_3_m1_a        10.2     9.32048     12.0087 pm      2.75759     17.7326 %       0.655908
K1780_3_m1_b        1.55     1.49881      1.7304 pm     0.245087    0.180402 rad     0.736075
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.904235    0.904235 pm    0.0529463     7.13687 %        1.13766
 K892_1_p1_b        3.14     2.83699     2.83699 pm     0.163106    0.303013 rad      1.85776
 K892_1_m1_a       0.196    0.178238    0.178238 pm    0.0522649     9.06243 %       0.339853
 K892_1_m1_b        -1.7    -1.49292    -1.49292 pm     0.485415    0.207077 rad     0.426598
  K800_0_0_a        1.12     1.05597     1.05597 pm    0.0419822     5.71722 %        1.52524
  K800_0_0_b         2.3     2.00009     2.00009 pm     0.244265     0.29991 rad      1.22781
 K1410_1_0_a       0.119    0.127137    0.127137 pm     0.118153     6.83749 %      0.0688651
 K1410_1_0_b        0.81    0.902753    0.902753 pm      24.8332   0.0927527 rad   0.00373502
K1410_1_p1_a       0.123    0.126203    0.126203 pm    0.0364696     2.60445 %      0.0878396
K1410_1_p1_b       -1.04   -0.595078   -0.595078 pm      2.30085    0.444922 rad     0.193373
K1410_1_m1_a       0.036   0.0365805   0.0365805 pm    0.0358847     1.61262 %       0.016178
K1410_1_m1_b        0.67     0.20766     0.20766 pm      3.97841     0.46234 rad     0.116212
 K1430_0_0_a        0.89    0.917626    0.917626 pm    0.0374161     3.10406 %       0.738349
 K1430_0_0_b       -2.17    -1.95733    -1.95733 pm     0.139146    0.212668 rad      1.52838
 K1430_2_0_a        4.66     4.63631     4.63631 pm     0.103871    0.508316 %       0.228048
 K1430_2_0_b       -0.32   -0.387417   -0.387417 pm     0.171136   0.0674173 rad     0.393939
K1430_2_p1_a        4.65     4.75213     4.75213 pm    0.0665762     2.19625 %        1.53397
K1430_2_p1_b       -3.05    -2.85116    -2.85116 pm     0.320314    0.198844 rad     0.620778
K1430_2_m1_a        1.26     1.30088     1.30088 pm    0.0761342     3.24453 %       0.536961
K1430_2_m1_b       -1.92     -1.8797     -1.8797 pm      1.12978    0.040298 rad    0.0356687
 K1780_3_0_a        16.8     16.4172     16.4172 pm     0.838012     2.27872 %       0.456826
 K1780_3_0_b       -1.43    -1.27896    -1.27896 pm       1.9651    0.151039 rad    0.0768607
K1780_3_p1_a        19.1     18.9694     18.9694 pm     0.934063    0.683621 %       0.139789
K1780_3_p1_b        2.03     2.26077     2.26077 pm      1.15362    0.230773 rad     0.200042
K1780_3_m1_a        10.2       9.363       9.363 pm      1.28682     8.20584 %       0.650436
K1780_3_m1_b        1.55     1.58418     1.58418 pm     0.682924   0.0341812 rad    0.0500512
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.887191    0.887191 pm   0.00808686     5.11742 %        5.34089
 K892_1_p1_b        3.14     3.13029     3.13029 pm      0.10359  0.00971021 rad    0.0937373
 K892_1_m1_a       0.196    0.211278    0.211278 pm    0.0084274     7.79492 %         1.8129
 K892_1_m1_b        -1.7    -2.21087    -2.21087 pm      0.24252    0.510869 rad       2.1065
  K800_0_0_a        1.12     1.22491     1.22491 pm   0.00734131     9.36708 %        14.2905
  K800_0_0_b         2.3     2.40138     2.40138 pm     0.101102    0.101378 rad      1.00272
 K1410_1_0_a       0.119     0.11597     0.11597 pm    0.0778892      2.5459 %      0.0388966
 K1410_1_0_b        0.81    0.763932    0.763932 pm      48.3194   0.0460678 rad  0.000953403
K1410_1_p1_a       0.123    0.116738    0.116738 pm   0.00571638     5.09071 %        1.09537
K1410_1_p1_b       -1.04   -0.916793   -0.916793 pm      2.19646    0.123207 rad    0.0560937
K1410_1_m1_a       0.036   0.0388106   0.0388106 pm   0.00604274      7.8073 %       0.465124
K1410_1_m1_b        0.67    0.550371    0.550371 pm      14.3283    0.119629 rad   0.00834913
 K1430_0_0_a        0.89     0.90066     0.90066 pm   0.00578162     1.19775 %        1.84378
 K1430_0_0_b       -2.17    -2.48402    -2.48402 pm     0.198522    0.314023 rad      1.58181
 K1430_2_0_a        4.66     4.53997     4.53997 pm    0.0302849     2.57565 %         3.9632
 K1430_2_0_b       -0.32   -0.131456   -0.131456 pm      0.15403    0.188544 rad      1.22407
K1430_2_p1_a        4.65     4.57972     4.57972 pm     0.021798     1.51139 %        3.22414
K1430_2_p1_b       -3.05    -3.53141     2.75178 pm     0.232932    0.481409 rad      2.06674
K1430_2_m1_a        1.26     1.20085     1.20085 pm    0.0305435     4.69478 %        1.93672
K1430_2_m1_b       -1.92     -1.9003     -1.9003 pm     0.613314   0.0196973 rad    0.0321162
 K1780_3_0_a        16.8      15.162      15.162 pm      1.05758     9.74986 %         1.5488
 K1780_3_0_b       -1.43    -1.08593    -1.08593 pm     0.853088    0.344066 rad     0.403318
K1780_3_p1_a        19.1     17.6952     17.6952 pm     0.608582     7.35484 %        2.30828
K1780_3_p1_b        2.03     2.36073     2.36073 pm      3.10633    0.330727 rad     0.106468
K1780_3_m1_a        10.2     9.91971     9.91971 pm     0.648593     2.74791 %       0.432146
K1780_3_m1_b        1.55     1.39212     1.39212 pm      1.73772    0.157882 rad     0.090856
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.732045    0.800991 pm   0.00438301     5.09586 %        9.81269
 K892_1_p1_b        3.14     3.69382    -3.11581 pm    0.0164521   0.0273739 rad      1.66385
 K892_1_m1_a       0.196    0.168401    0.192725 pm   0.00661841     1.67071 %        0.49477
 K892_1_m1_b        -1.7    -2.57234    -1.54906 pm    0.0348831    0.150938 rad      4.32698
  K800_0_0_a        1.12     1.21235      1.1388 pm    0.0156147     1.67835 %        1.20384
  K800_0_0_b         2.3     1.56512      1.8124 pm    0.0199703    0.487599 rad      24.4162
 K1410_1_0_a       0.119    0.154421     0.12442 pm   0.00791944     4.55491 %       0.684435
 K1410_1_0_b        0.81   -0.586549     1.31754 pm    0.0919567    0.507542 rad      5.51935
K1410_1_p1_a       0.123      0.1475   0.0883029 pm    0.0125597      28.209 %        2.76258
K1410_1_p1_b       -1.04    0.463224    -1.23739 pm     0.138501    0.197393 rad      1.42521
K1410_1_m1_a       0.036   0.0373525  -0.0218565 pm    0.0138319     160.713 %        4.18282
K1410_1_m1_b        0.67  -0.0385614    -2.63386 pm     0.529821     2.97933 rad      5.62328
 K1430_0_0_a        0.89    0.809667      1.1049 pm    0.0158979     24.1466 %        13.5179
 K1430_0_0_b       -2.17    -1.59752    -2.10298 pm    0.0223925   0.0670193 rad      2.99294
 K1430_2_0_a        4.66     3.64793     4.30517 pm    0.0708836     7.61448 %        5.00588
 K1430_2_0_b       -0.32    0.759813   -0.280926 pm     0.023677   0.0390739 rad      1.65029
K1430_2_p1_a        4.65     3.86429     4.27563 pm    0.0716932     8.05089 %        5.22179
K1430_2_p1_b       -3.05    -2.29686    -3.04525 pm    0.0324568   0.0047528 rad     0.146435
K1430_2_m1_a        1.26     1.36471     1.02354 pm     0.102544      18.767 %        2.30597
K1430_2_m1_b       -1.92    -1.51615    -1.91877 pm     0.102978  0.00122831 rad    0.0119279
 K1780_3_0_a        16.8     20.5493     21.0758 pm      1.77412      25.451 %        2.41007
 K1780_3_0_b       -1.43    -2.18245    -1.32114 pm    0.0799824    0.108864 rad       1.3611
K1780_3_p1_a        19.1     15.0319     20.5478 pm      2.05656     7.57994 %       0.703975
K1780_3_p1_b        2.03     3.37693      1.9814 pm     0.107146   0.0485983 rad     0.453571
K1780_3_m1_a        10.2     10.9386    -12.0099 pm      2.38452     217.745 %        9.31422
K1780_3_m1_b        1.55     1.74882    -1.41106 pm     0.223898     2.96106 rad      13.2251
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.608908    0.798755 pm   0.00487896     5.36079 %        9.27351
 K892_1_p1_b        3.14      3.7104    -3.11225 pm    0.0154916   0.0309373 rad      1.99705
 K892_1_m1_a       0.196    0.170513    0.193679 pm   0.00674957     1.18439 %       0.343935
 K892_1_m1_b        -1.7    -1.72448    -1.55258 pm    0.0271498    0.147422 rad      5.42995
  K800_0_0_a        1.12    0.982591     1.15844 pm    0.0161126     3.43218 %        2.38573
  K800_0_0_b         2.3     1.68378     1.86069 pm    0.0186467    0.439308 rad      23.5595
 K1410_1_0_a       0.119   0.0992313    0.125049 pm   0.00734413     5.08332 %       0.823671
 K1410_1_0_b        0.81    0.664238      1.2616 pm    0.0962295    0.451603 rad      4.69298
K1410_1_p1_a       0.123    0.114475    0.102324 pm    0.0129402     16.8098 %        1.59781
K1410_1_p1_b       -1.04    0.183599    -1.21185 pm     0.126904    0.171847 rad      1.35415
K1410_1_m1_a       0.036   0.0367437  -0.0256225 pm    0.0142457     171.174 %        4.32569
K1410_1_m1_b        0.67    0.449452    -2.66531 pm     0.386521     2.94788 rad      7.62669
 K1430_0_0_a        0.89     1.12677     1.14055 pm    0.0152299     28.1514 %         16.451
 K1430_0_0_b       -2.17    -2.77126    -2.08485 pm    0.0195785   0.0851458 rad      4.34894
 K1430_2_0_a        4.66     4.80587      4.4501 pm    0.0753881     4.50434 %        2.78429
 K1430_2_0_b       -0.32    -1.70585   -0.272341 pm    0.0214153   0.0476588 rad      2.22545
K1430_2_p1_a        4.65     4.49015     4.30775 pm    0.0699168     7.36027 %        4.89514
K1430_2_p1_b       -3.05    -4.56733    -3.01324 pm    0.0352118   0.0367564 rad      1.04387
K1430_2_m1_a        1.26     1.03195     1.03724 pm    0.0890414     17.6793 %        2.50175
K1430_2_m1_b       -1.92    -3.05896    -1.89254 pm    0.0849937   0.0274643 rad     0.323133
 K1780_3_0_a        16.8      19.787     21.3608 pm      1.83785     27.1476 %         2.4816
 K1780_3_0_b       -1.43    -2.19602    -1.30673 pm     0.091835    0.123271 rad      1.34231
K1780_3_p1_a        19.1     23.1386     20.5391 pm      1.95425     7.53477 %       0.736417
K1780_3_p1_b        2.03      1.4518     2.00366 pm     0.126151   0.0263442 rad      0.20883
K1780_3_m1_a        10.2     11.4224     12.0659 pm      2.10414     18.2934 %       0.886788
K1780_3_m1_b        1.55    0.719774     1.75998 pm     0.216804    0.209981 rad     0.968527
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844     1.06417    0.855449 pm   0.00506574     1.35652 %        2.26009
 K892_1_p1_b        3.14     2.22995    -3.11965 pm    0.0158489   0.0235363 rad      1.48504
 K892_1_m1_a       0.196    0.126999    0.199346 pm   0.00726359     1.70718 %       0.460662
 K892_1_m1_b        -1.7   -0.973088    -1.55523 pm     0.034484    0.144767 rad       4.1981
  K800_0_0_a        1.12     1.50394     1.18704 pm     0.018137     5.98562 %        3.69625
  K800_0_0_b         2.3     3.78497      1.8097 pm    0.0200156    0.490299 rad      24.4958
 K1410_1_0_a       0.119   0.0705276    0.131316 pm   0.00792996     10.3499 %        1.55315
 K1410_1_0_b        0.81   -0.680753     1.24199 pm    0.0900431    0.431992 rad      4.79761
K1410_1_p1_a       0.123   0.0715397   0.0953238 pm    0.0112637      22.501 %        2.45711
K1410_1_p1_b       -1.04    0.449068    -1.26956 pm      0.14467     0.22956 rad      1.58679
K1410_1_m1_a       0.036   0.0371837  -0.0270886 pm    0.0162762     175.246 %        3.87612
K1410_1_m1_b        0.67   -0.251733     -2.7014 pm     0.385065     2.91179 rad      7.56181
 K1430_0_0_a        0.89    0.783459     1.18148 pm    0.0161239     32.7501 %        18.0773
 K1430_0_0_b       -2.17    -1.47475    -2.10976 pm    0.0214279   0.0602381 rad      2.81119
 K1430_2_0_a        4.66     3.20833     4.49427 pm    0.0739963      3.5564 %        2.23968
 K1430_2_0_b       -0.32    0.023824   -0.279866 pm    0.0219136   0.0401336 rad      1.83144
K1430_2_p1_a        4.65     2.50246     4.51909 pm    0.0823022      2.8152 %        1.59056
K1430_2_p1_b       -3.05    -1.64499     -3.0549 pm    0.0359012  0.00490462 rad     0.136614
K1430_2_m1_a        1.26     1.24697     -1.0907 pm     0.107322     186.563 %        21.9033
K1430_2_m1_b       -1.92     -3.3621      1.1866 pm     0.100898      3.1066 rad      30.7895
 K1780_3_0_a        16.8     14.5914    -24.5779 pm      2.01026     246.297 %        20.5834
 K1780_3_0_b       -1.43     -2.2603     1.86232 pm    0.0811523     2.99086 rad       36.855
K1780_3_p1_a        19.1     25.9285      21.339 pm      2.16931     11.7226 %        1.03213
K1780_3_p1_b        2.03     1.03299     1.93942 pm     0.124291   0.0905771 rad     0.728748
K1780_3_m1_a        10.2     6.15372    -12.5652 pm      2.58062     223.188 %        8.82159
K1780_3_m1_b        1.55     1.37047    -1.43028 pm     0.221479     2.98028 rad      13.4563
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844    0.933086    0.933086 pm    0.0461016     10.5552 %        1.93238
 K892_1_p1_b        3.14     3.22481    -3.05838 pm      0.68638   0.0848097 rad     0.123561
 K892_1_m1_a       0.196    0.201558    0.201558 pm    0.0446152     2.83582 %       0.124581
 K892_1_m1_b        -1.7   -0.239545   -0.239545 pm      1.87941     1.46045 rad     0.777081
  K800_0_0_a        1.12    0.763179    0.763179 pm    0.0897005     31.8591 %        3.97792
  K800_0_0_b         2.3     3.72041    -2.56277 pm       95.317     1.42041 rad     0.014902
 K1410_1_0_a       0.119    0.131551    0.131551 pm     0.025135     10.5471 %       0.499344
 K1410_1_0_b        0.81     1.81467     1.81467 pm      6.89785     1.00467 rad      0.14565
K1410_1_p1_a       0.123   0.0989558   0.0989558 pm    0.0248499     19.5482 %        0.96758
K1410_1_p1_b       -1.04   -0.756363   -0.756363 pm      1.60503    0.283637 rad     0.176717
K1410_1_m1_a       0.036   0.0529615   0.0529615 pm     0.028941     47.1153 %       0.586072
K1410_1_m1_b        0.67     1.04634     1.04634 pm       16.506    0.376339 rad    0.0228001
 K1430_0_0_a        0.89     1.23489     1.23489 pm    0.0529724     38.7521 %        6.51082
 K1430_0_0_b       -2.17    -2.52633    -2.52633 pm       1.9425    0.356325 rad     0.183437
 K1430_2_0_a        4.66     4.31658     4.31658 pm     0.114811      7.3696 %         2.9912
 K1430_2_0_b       -0.32   -0.862983   -0.862983 pm        2.087    0.542983 rad     0.260173
K1430_2_p1_a        4.65     2.81617     2.81617 pm     0.198868     39.4373 %        9.22138
K1430_2_p1_b       -3.05    -2.05743    -2.05743 pm      2.85437    0.992567 rad     0.347736
K1430_2_m1_a        1.26     1.54719     1.54719 pm     0.177534     22.7931 %        1.61768
K1430_2_m1_b       -1.92    -1.33441    -1.33441 pm      1.93092    0.585589 rad      0.30327
 K1780_3_0_a        16.8     10.5985     10.5985 pm      0.72705     36.9137 %        8.52967
 K1780_3_0_b       -1.43    -1.49538    -1.49538 pm      5.39012   0.0653751 rad    0.0121287
K1780_3_p1_a        19.1     26.2282     26.2282 pm     0.844626     37.3206 %        8.43951
K1780_3_p1_b        2.03     1.24133     1.24133 pm      16.6783    0.788675 rad    0.0472875
K1780_3_m1_a        10.2     11.6854     11.6854 pm      1.01744     14.5624 %         1.4599
K1780_3_m1_b        1.55     1.99746     1.99746 pm      8.74587    0.447464 rad    0.0511629
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844       1.202     0.85545 pm   0.00532717     1.35663 %        2.14934
 K892_1_p1_b        3.14     1.97294    -3.11964 pm    0.0165484   0.0235483 rad        1.423
 K892_1_m1_a       0.196    0.142917    0.199356 pm   0.00715089     1.71246 %       0.469372
 K892_1_m1_b        -1.7    -2.60812    -1.55521 pm    0.0338008    0.144787 rad      4.28355
  K800_0_0_a        1.12      1.2556     1.18706 pm     0.018265     5.98729 %        3.67137
  K800_0_0_b         2.3     3.13761     1.80972 pm     0.020143    0.490277 rad      24.3398
 K1410_1_0_a       0.119    0.123565    0.131332 pm   0.00829167     10.3628 %        1.48725
 K1410_1_0_b        0.81   0.0904969     1.24204 pm    0.0925589    0.432043 rad      4.66777
K1410_1_p1_a       0.123   0.0745547  -0.0953439 pm     0.014782     177.515 %        14.7709
K1410_1_p1_b       -1.04   -0.925704     1.87203 pm      0.14301     2.91203 rad      20.3625
K1410_1_m1_a       0.036   0.0377384   0.0270593 pm    0.0143629     24.8354 %        0.62249
K1410_1_m1_b        0.67  -0.0182473    0.439104 pm     0.580369    0.230896 rad     0.397844
 K1430_0_0_a        0.89    0.641559     1.18145 pm    0.0165421     32.7469 %        17.6185
 K1430_0_0_b       -2.17    -3.00425    -2.10979 pm    0.0217515   0.0602072 rad      2.76796
 K1430_2_0_a        4.66     4.56295     4.49435 pm    0.0794411     3.55465 %        2.08515
 K1430_2_0_b       -0.32    -1.62243   -0.279898 pm    0.0235056   0.0401016 rad      1.70604
K1430_2_p1_a        4.65      2.7055     4.51913 pm    0.0791432     2.81443 %         1.6536
K1430_2_p1_b       -3.05    -4.59702     -3.0549 pm    0.0362754  0.00490001 rad     0.135078
K1430_2_m1_a        1.26     1.01896     1.09065 pm     0.112323     13.4403 %        1.50768
K1430_2_m1_b       -1.92    -2.74379    -1.95497 pm    0.0984479   0.0349689 rad     0.355203
 K1780_3_0_a        16.8     21.9202      24.578 pm      2.00095     46.2977 %        3.88715
 K1780_3_0_b       -1.43    -2.74644     -1.2793 pm    0.0836069    0.150702 rad       1.8025
K1780_3_p1_a        19.1     23.4819    -21.3374 pm      2.22234     211.714 %        18.1958
K1780_3_p1_b        2.03      2.5603    -1.20211 pm      0.12274     3.05108 rad      24.8581
K1780_3_m1_a        10.2      9.8812     12.5673 pm      2.53563     23.2084 %       0.933598
K1780_3_m1_b        1.55     2.09126      1.7115 pm     0.238814    0.161501 rad     0.676264
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844       0.844    0.855446 pm   0.00455648     1.35611 %        2.51192
 K892_1_p1_b        3.14        3.14    -3.11962 pm    0.0159898    0.023569 rad        1.474
 K892_1_m1_a       0.196       0.196    0.199357 pm    0.0066012     1.71276 %       0.508546
 K892_1_m1_b        -1.7        -1.7    -1.55517 pm    0.0346573    0.144826 rad      4.17881
  K800_0_0_a        1.12        1.12     1.18704 pm    0.0177459     5.98545 %         3.7776
  K800_0_0_b         2.3         2.3     1.80971 pm    0.0194922    0.490292 rad      25.1532
 K1410_1_0_a       0.119       0.119    0.131326 pm   0.00867657     10.3578 %        1.42059
 K1410_1_0_b        0.81        0.81     1.24197 pm    0.0911425    0.431971 rad      4.73951
K1410_1_p1_a       0.123       0.123   0.0953508 pm    0.0146008      22.479 %        1.89368
K1410_1_p1_b       -1.04       -1.04    -1.26987 pm     0.153516    0.229868 rad      1.49735
K1410_1_m1_a       0.036       0.036   0.0270867 pm    0.0157949     24.7592 %       0.564314
K1410_1_m1_b        0.67        0.67    0.438193 pm     0.543451    0.231807 rad     0.426545
 K1430_0_0_a        0.89        0.89     1.18147 pm    0.0170189     32.7492 %        17.1261
 K1430_0_0_b       -2.17       -2.17    -2.10979 pm    0.0208303    0.060211 rad      2.89054
 K1430_2_0_a        4.66        4.66     4.49424 pm    0.0720627     3.55714 %        2.30026
 K1430_2_0_b       -0.32       -0.32   -0.279904 pm    0.0222543    0.040096 rad      1.80172
K1430_2_p1_a        4.65        4.65     4.51899 pm    0.0757759     2.81746 %        1.72894
K1430_2_p1_b       -3.05       -3.05    -3.05494 pm      0.03421  0.00493921 rad     0.144379
K1430_2_m1_a        1.26        1.26     1.09073 pm     0.107666     13.4344 %        1.57221
K1430_2_m1_b       -1.92       -1.92     -1.9551 pm    0.0944801    0.035104 rad     0.371549
 K1780_3_0_a        16.8        16.8     24.5763 pm      1.83207     46.2877 %        4.24457
 K1780_3_0_b       -1.43       -1.43    -1.27924 pm    0.0843316    0.150757 rad      1.78767
K1780_3_p1_a        19.1        19.1     21.3361 pm      2.05953     11.7071 %        1.08571
K1780_3_p1_b        2.03        2.03     1.93947 pm     0.118373   0.0905264 rad     0.764759
K1780_3_m1_a        10.2        10.2     12.5658 pm      2.48167     23.1941 %       0.953309
K1780_3_m1_b        1.55        1.55      1.7115 pm     0.229962    0.161499 rad     0.702284
-------------------------------

        NAME     GEN_VAL     INI_VAL     FIT_VAL                       DELTA        PULL
  K892_1_0_a           1           1           1 pm            0           0 %              0
  K892_1_0_b           0           0           0 pm            0           0 rad            0
 K892_1_p1_a       0.844       0.844    0.855446 pm   0.00455648     1.35611 %        2.51192
